"Subject_ID","Participant","Date","Time","Experiment_Duration","Screen_Resolution","Screen_Size","Browser","Browser_Version","Device","Device_OS"
"sub-134","aqm2s1","27/12/2022","14:28:49",37.3582,"1366x600",0.8196,"chrome","108.0.0","Desktop","Windows 10"
"sub-135","jn389l","07/01/2023","15:20:19",23.85585,"1366x600",0.8196,"chrome","108.0.0","Desktop","Windows 10"
"sub-136","un0pzf","30/12/2022","17:06:20",17.4939833333333,"1366x600",0.8196,"chrome","108.0.0","Desktop","Windows 10"
"sub-137","s5lh8e","14/01/2023","16:43:52",19.0834166666667,"1366x600",0.8196,"chrome","109.0.0","Desktop","Windows 10"
"sub-138","b1dzdf","30/12/2022","14:37:24",17.2134833333333,"1366x600",0.8196,"chrome","108.0.0","Desktop","Windows 10"
"sub-140","uggt7m","18/01/2023","11:04:58",18.4681,"1366x657",0.897462,"chrome","109.0.0","Desktop","Windows 10"
"sub-141","r0sdb2","05/01/2023","18:37:55",18.0838833333333,"1366x600",0.8196,"chrome","108.0.0","Desktop","Windows 10"
"sub-143","ge76zf","04/01/2023","14:59:46",16.9103166666667,"1366x600",0.8196,"chrome","108.0.0","Desktop","Windows 10"
"sub-144","c3dpjq","11/01/2023","16:43:15",19.38635,"1366x600",0.8196,"chrome","108.0.0","Desktop","Windows 10"
"sub-147","hkvkkz","14/01/2023","10:21:40",20.1569166666667,"1366x600",0.8196,"chrome","109.0.0","Desktop","Windows 10"
"sub-148","yz2wpe","12/01/2023","12:44:52",22.67285,"1366x600",0.8196,"chrome","108.0.0","Desktop","Windows 10"
"sub-149","zq5ezl","09/01/2023","17:43:53",19.5031833333333,"1366x600",0.8196,"chrome","108.0.0","Desktop","Windows 10"
"sub-150","h67egb","10/01/2023","13:11:44",17.1307,"1366x600",0.8196,"chrome","108.0.0","Desktop","Windows 10"
"sub-151","c0qqt7","14/01/2023","14:52:53",18.4442666666667,"1366x600",0.8196,"chrome","109.0.0","Desktop","Windows 10"
"sub-152","851x4m","20/01/2023","17:33:50",20.8306666666667,"1366x600",0.8196,"chrome","109.0.0","Desktop","Windows 10"
"sub-153","5jb70x","06/01/2023","11:13:06",20.0913333333333,"1366x600",0.8196,"chrome","108.0.0","Desktop","Windows 10"
